date,imports_animal_vegetable_oils,imports_beverages_and_tobacco,imports_chemicals,imports_crude_materials,imports_food_and_live_animals,imports_machinery_and_transport,imports_manufactured_goods,imports_mineral_fuels,imports_miscellaneous_manufactures,imports_other,imports_animal_vegetable_oils_yoy,imports_beverages_and_tobacco_yoy,imports_chemicals_yoy,imports_crude_materials_yoy,imports_food_and_live_animals_yoy,imports_machinery_and_transport_yoy,imports_manufactured_goods_yoy,imports_mineral_fuels_yoy,imports_miscellaneous_manufactures_yoy,imports_other_yoy
2015-01-01,50875609.0,251525349.0,2987968563.0,374349965.0,1825997539.0,6922716836.0,2056294751.0,685440160.0,1922517955.0,93034230.0,,,,,,,,,,
2015-02-01,61570473.0,286780164.0,3120163690.0,408921422.0,1848676746.0,7644005870.0,2087633037.0,784649577.0,1996508447.0,205227884.0,,,,,,,,,,
2015-03-01,58500445.0,324517880.0,3350574207.0,498633083.0,2011749534.0,8495389082.0,2169024179.0,763255557.0,2271495602.0,98114084.0,,,,,,,,,,
2015-04-01,56912319.0,313423880.0,2959516697.0,414023983.0,1928980406.0,7419886632.0,2044419610.0,634943692.0,1930872176.0,142037889.0,,,,,,,,,,
2015-05-01,51813990.0,311137277.0,3037097337.0,393158270.0,1835439660.0,7126097686.0,1906700337.0,681798557.0,1887498170.0,138954765.0,,,,,,,,,,
2015-06-01,52161894.0,367314013.0,3282355893.0,405574579.0,1973888888.0,7894122747.0,2176296581.0,745816857.0,2159887493.0,66627689.0,,,,,,,,,,
2015-07-01,68464551.0,369329415.0,3126642583.0,401796416.0,1937259315.0,8004555106.0,2126305253.0,586390070.0,2189011693.0,66986214.0,,,,,,,,,,
2015-08-01,52618893.0,315507742.0,2791621762.0,334228835.0,1804211226.0,6262748518.0,1778722390.0,598977088.0,1959951304.0,112794828.0,,,,,,,,,,
2015-09-01,64190830.0,370430727.0,3174094399.0,350187304.0,2027979474.0,8075887159.0,2080109057.0,577605138.0,2273353121.0,119577022.0,,,,,,,,,,
2015-10-01,61059163.0,401629161.0,3198811216.0,396439023.0,2092895621.0,8268152834.0,2122125399.0,525516510.0,2391976282.0,145374386.0,,,,,,,,,,
2015-11-01,,400782419.0,,1783006.0,1917569642.0,,,,,,,,,,,,,,,
2016-01-01,59383722.0,250902312.0,3033126850.0,349113543.0,1745730989.0,6858433637.0,1899986640.0,456475585.0,2008709798.0,98246012.0,,,,,,,,,,
2016-02-01,61141286.0,298342210.0,3264112977.0,394670787.0,1913444013.0,8406449705.0,2051265844.0,572737658.0,2203140006.0,195294201.0,20.17799334844326,18.61317803002034,9.241878158274307,5.42829541869998,4.7889699811912045,21.432811772455974,-0.24456158328247657,-16.442354646976042,14.596589346287804,109.91650170050313
2016-03-01,60129864.0,325947182.0,3058064062.0,471586348.0,2028591142.0,8915195378.0,2164185087.0,602607409.0,2425651040.0,304105790.0,-2.33977250751346,13.657505963348292,-1.9902682733930588,15.324441965772095,9.73206356326397,16.629886601591526,3.666930377285449,-23.200441743180853,21.494654512723944,48.179567061169905
2016-04-01,61284856.0,339816739.0,3213589600.0,413285638.0,1992176189.0,7911206801.0,2153090940.0,563964401.0,2168492296.0,100904482.0,4.759640717262914,4.7143346924366725,-4.088391975137052,-17.116282073887177,-0.972951387297305,-6.8764629302001445,-0.7345809767480671,-26.110672129701896,-4.5346029245800885,2.844034094024672
2016-05-01,67202747.0,362417563.0,2987772845.0,392423724.0,1968697364.0,7846297922.0,2037294825.0,521518324.0,2166015121.0,199289893.0,18.081196093942342,15.631764561143214,0.95475548519941,-5.217151635392092,2.058961194030906,5.746870688845851,-0.3484991517959446,-17.86384673619216,12.178068953643661,40.307557654563574
2016-06-01,61589595.0,370342948.0,3374652537.0,430945191.0,2117044037.0,8754580737.0,2206186173.0,552008084.0,2315818205.0,202902247.0,18.8667288506444,19.028793840090085,11.114401764068326,9.611122004377526,15.342611535374573,22.852381804972065,15.707021716438696,-19.036483968387163,22.692474186610735,46.02035921546124
2016-07-01,58075411.0,355636620.0,3364482846.0,409946315.0,1986677789.0,7931285016.0,2174793951.0,638021948.0,2403343051.0,133948178.0,11.336852530699893,-3.1791308217799963,2.5020733789149707,1.0779117396309879,0.6479037942686894,0.47075869214374677,-0.06904527687625617,-14.453267982383512,11.271677751226283,101.03980793930884
2016-08-01,80526258.0,330783619.0,3479999281.0,411786244.0,2068670114.0,7311180402.0,2165010237.0,565968026.0,2278224288.0,149630926.0,17.617448480747356,-10.436698089698593,11.30147398110839,2.4862909678119216,6.783335508184152,-8.662251615711469,1.8202929210371366,-3.4826722082793804,4.075473661711504,123.37570234974021
2016-09-01,64329691.0,378079733.0,3534404113.0,413579235.0,2224692559.0,9463189539.0,2380018034.0,669905500.0,2569375058.0,256606439.0,22.255880601669055,19.83215708221828,26.607556980349976,23.741338774675146,23.305549092066236,51.10281870334554,33.80491792201481,11.84159017448092,31.093821196284168,127.49840888094619
2016-10-01,65017819.0,422157784.0,3146974681.0,444507028.0,2306432274.0,8469638457.0,2341692280.0,620430995.0,2563713486.0,122736249.0,1.288328878127909,13.964029771212804,-0.8544080481205585,26.93407868378919,13.730553172255622,4.8756414032010476,12.575457143447256,7.414382972472788,12.772338899654834,2.642001738427635
2016-11-01,,455846566.0,,156717465.0,2271931176.0,,,,,,,13.4993696336706,,-60.468708702271215,8.554442620241876,,,,,
2017-01-01,59090929.0,286068467.0,3414785768.0,475225108.0,2122188233.0,7816366229.0,2302242605.0,854964737.0,2322141569.0,79007794.0,,-28.622501028419613,,26553.02909805127,10.670725407739855,,,,,
2017-02-01,78052070.0,308147702.0,3296228054.0,461458281.0,2091381083.0,8869621932.0,2375892810.0,933227339.0,2363401462.0,88569344.0,31.436810242375856,22.815808090281763,8.674256534968205,32.17999996064318,19.79973410439355,29.3243093313611,25.047869283965074,104.44189561638879,17.657685761933053,-9.849425745647567
2017-03-01,86052310.0,355070858.0,4231410180.0,564423032.0,2379692586.0,10365947559.0,2564672760.0,617877908.0,2741169739.0,220384379.0,40.74337592441219,19.01462350902341,29.63430524053212,43.011099526857045,24.366982772022183,23.30945788963119,25.02878490868101,7.881488037233275,24.42104140157855,12.847374817852364
2017-04-01,64382285.0,335242749.0,3603699524.0,447813824.0,2193910991.0,7565082073.0,2189509622.0,521593012.0,2285520614.0,126776466.0,7.0720615632857475,2.851862974535546,17.842512482984073,-5.040969506606663,8.14949082529317,-15.143956444652584,1.170164934234208,-13.443976258844836,-5.777023309997631,-58.31172237792644
2017-05-01,81043059.0,391035802.0,3881661747.0,495445363.0,2262272565.0,8172955615.0,2463286486.0,618693902.0,2499582071.0,145674029.0,32.23994358410502,15.072554445294696,20.788969039481575,19.879646773498582,13.557855850871237,3.308582629478396,14.406987658403313,9.70442476563338,15.268201579997687,44.36824421733814
2017-06-01,82191422.0,392330843.0,3704688012.0,474318468.0,2352773355.0,9211654353.0,2655621251.0,570415853.0,2963343422.0,116232357.0,22.303664164204484,8.253816330639573,23.994968968265052,20.868958473061117,19.509143356581447,17.40128203865059,30.35036551472121,9.375994428145917,36.81083724992149,-41.67674273376222
2017-07-01,80976394.0,403436481.0,3377093522.0,461662524.0,2204321437.0,8455345283.0,2506720785.0,668438686.0,2657487235.0,103027978.0,31.477393218773408,8.93591552876012,0.07233292830111093,7.127897849079368,4.12260673253062,-3.4180443700213226,13.62235951244899,21.092191468703202,14.753706886935891,-49.22285015404487
2017-08-01,129855778.0,391625478.0,3888000732.0,485394955.0,2231755363.0,7936224149.0,2495452152.0,672823583.0,2583641471.0,121770286.0,123.59855188971456,10.11955911626874,15.56012944522529,18.404517186597968,12.336050433390122,0.06227405760903526,14.744302597152114,5.454614078573994,7.5019843681899845,-9.091495070578715
2017-09-01,66294679.0,388020453.0,3923537878.0,474584583.0,2378178108.0,9140911555.0,2635374753.0,671998941.0,2754380933.0,145455787.0,-17.673215362869588,17.3034064301715,12.745364616068144,15.25022749424334,14.961689246891696,25.026480710275866,21.725740967016026,18.734435538589956,20.900341002773114,-2.7902914936181022
2017-10-01,82529235.0,462055458.0,3807343446.0,458377526.0,2466488132.0,9314635781.0,2625311117.0,742457771.0,2930628712.0,129793627.0,28.291048374536732,22.211115188234643,7.722357836674454,10.831852087544958,10.868718557169398,-1.5698064314127458,10.306353964375049,10.830224710798753,14.059981351309592,-49.419185463229944
2017-11-01,,473475402.0,,141103631.0,2368323413.0,,,,,,,12.156027898800993,,-68.25615297133166,2.6834145401834597,,,,,
2018-01-01,70455259.0,299458238.0,3588244056.0,457173073.0,2191343322.0,8636814999.0,2502756087.0,1146086920.0,2567119059.0,186180374.0,,-34.307229595319576,,191.718011773608,-3.5471080660939847,,,,,
2018-02-01,100102215.0,305498923.0,3433390459.0,438556198.0,2117601206.0,8500337932.0,2446033935.0,1069333283.0,2616632765.0,126509981.0,69.40369138552552,6.792239705329006,0.5448274727611002,-7.716113770655397,-0.2161460952742944,8.750507370833693,6.24570710696235,25.07337866965149,12.681879517225948,60.12341896294433
2018-03-01,70753021.0,349391976.0,3421209964.0,519193676.0,2382335880.0,9616007673.0,2709754666.0,1301040646.0,2829568290.0,190347462.0,-9.351512394226058,13.384579450798562,3.791664531473593,12.51150913900274,13.91208897149616,8.415079545918115,14.052058855298277,39.41304456362482,19.724402963071363,114.91348293152086
2018-04-01,65238050.0,362753055.0,3434255237.0,456635292.0,2259688276.0,8509428177.0,2609336234.0,734051567.0,2490939342.0,152963461.0,-24.18791546676666,2.163567306895131,-18.838990055083716,-19.096977601721964,-5.042849261539029,-17.909789446967817,1.7414882201189696,18.80204122786018,-9.1285991319635,-30.592421434733353
2018-05-01,85316923.0,379727055.0,3516513310.0,519360480.0,2374583055.0,8539953451.0,2819442976.0,1175858909.0,2626905155.0,211329482.0,32.5161463281398,13.269282074763078,-2.4193530403785135,15.976875247156276,8.235159254006398,12.88646135749596,28.77052229734389,125.43609326575869,14.936839287680993,66.69456774414266
2018-06-01,68220741.0,398887747.0,3723493519.0,483834922.0,2401044604.0,9016761113.0,2786575684.0,756133635.0,2732796405.0,180868392.0,-15.82161157070836,2.0079862150320427,-4.074755563702648,-2.3434351932767994,6.134187416095016,10.324361684423522,13.124303642203316,22.214496143522688,9.330133093277414,24.159668845295677
2018-07-01,77384386.0,428634728.0,3516521947.0,524282301.0,2331740890.0,8668078100.0,2765485082.0,739576867.0,2756209492.0,181290767.0,-5.848585999643607,9.253385413799853,-5.079133907916233,10.533815647254109,-0.8939435222395264,-5.900962326305381,4.137029365864198,29.655735041431264,-6.989872603432601,55.97271850901209
2018-08-01,82164620.0,426936273.0,3860897784.0,479800861.0,2351470519.0,6971090207.0,2611315312.0,840723723.0,2728225555.0,119038369.0,1.467373318698284,5.8249050610770015,14.326054604300055,3.928916915941838,6.675482056748705,-17.554044528307877,4.172563918003336,25.774246854407835,2.661849850804643,15.539847826577757
2018-09-01,73151238.0,375748551.0,3494416053.0,456086730.0,2316289894.0,8666515515.0,2552396922.0,856953418.0,2870678241.0,204868792.0,-43.66732144949299,-4.05410982990233,-10.123060825596575,-6.038015990504064,3.787804541729245,9.202000249602582,2.281941970089907,27.366733219872884,11.109775610193395,68.24202252427986
2018-10-01,79789041.0,509980448.0,3738254389.0,502801412.0,2585835685.0,9674892950.0,2986494198.0,835034753.0,3112727889.0,142045234.0,20.355120808413595,31.431331533443686,-4.722357595651583,5.945584835822615,8.731792471785727,5.84166460628226,13.323321269595546,24.26131978085959,13.010072488764202,-2.3447351737198363
2018-11-01,,476653485.0,,27205744.0,2408933887.0,,,,,,,3.159366856781065,,-94.06477358578003,-2.3334490952255704,,,,,
2019-01-01,77304187.0,400859388.0,4063206913.0,507286469.0,2379426075.0,9060748484.0,2602746444.0,926641619.0,2768534145.0,88981156.0,,-15.33680814109114,,259.51340543461987,0.46879838872748714,,,,,
2019-02-01,73184267.0,449451391.0,4129734603.0,505950825.0,2378813732.0,9874634830.0,2593701046.0,717091616.0,2653483348.0,80587479.0,3.8733914809680803,50.08817055819317,15.090683313320309,10.66942803081492,8.555045123139315,14.331901645957679,3.6337923408674477,-37.43130617004162,3.364249456885049,-56.7153737697401
2019-03-01,76391440.0,474295164.0,5233507310.0,568131800.0,2660903193.0,10901265593.0,2982269340.0,772588702.0,3738998251.0,103721315.0,-23.68656377883347,55.2526468317533,52.42971553909126,29.54595160002733,25.656482696581918,28.245084844939793,21.92264781477775,-27.750429703963498,42.89350423998073,-18.013334457776896
2019-04-01,79405616.0,355436425.0,2871640366.0,531350172.0,2421904109.0,8068825584.0,2624573728.0,649104669.0,2748371903.0,70224436.0,12.229294067881558,1.7299907883402632,-16.063603338669573,2.341418349633373,1.6609005191996706,-16.089651148513596,-3.1434926219995996,-50.10880935998059,-2.8695680286974112,-63.10723806761342
2019-05-01,70542275.0,388074957.0,3158012973.0,493091836.0,2356179179.0,8476531482.0,2766928277.0,694392931.0,2700724603.0,98096467.0,8.130569506599294,6.980479323599353,-8.043731316875324,7.983733329135667,4.270097961069386,-0.3865911353352236,6.039545266208113,-5.402704357962362,8.421933744543185,-35.8693466016698
2019-06-01,78274593.0,351343686.0,3207737135.0,466884829.0,2186915583.0,8164087039.0,2897513209.0,835545734.0,3016900105.0,212145529.0,-8.254317845007142,-7.474676514687639,-8.780748081399981,-10.103897585738519,-7.903175742993751,-4.401270032168469,2.768994927883228,-28.941667439456374,14.846175517897597,0.38614915073704736
2019-07-01,77145754.0,391745867.0,3671557029.0,483016058.0,2329128394.0,9239584774.0,2728227283.0,740964585.0,2991449216.0,135723196.0,13.082550657138125,-1.7904485795097624,-1.3948322921735201,-0.16924450112346667,-2.995205081996055,2.47121619623194,-2.0939105058235374,-2.006133479302241,9.464766951784686,-24.960246232520277
2019-08-01,68903242.0,368684712.0,3487187265.0,424246353.0,2315289423.0,7598365063.0,2545066174.0,635867248.0,2889414733.0,285062649.0,-10.959761314123496,-13.986271313042087,-0.8341959027164836,-19.08055027018736,-0.7055443883389634,-12.340832935042434,-7.970352450449414,-14.022831652467026,4.832914239161901,57.24057750828535
2019-09-01,74630354.0,428089018.0,3497614434.0,405514806.0,2459577083.0,9815533974.0,2780876428.0,568379061.0,3031673350.0,448050585.0,-9.169720495269129,0.2700039965917833,-9.409297275506423,-15.482684804936186,4.5974024818297154,40.80342790778637,6.493322166832982,-32.39407364742579,11.122533268698165,276.39173718853624
2019-10-01,94960210.0,563640706.0,4338384806.0,472165460.0,2885868065.0,10183283521.0,2817320949.0,719970713.0,3414432443.0,136102616.0,29.813537810528913,50.004758368316374,24.151925248724805,3.5253667652202836,24.59010732963116,17.5014745358129,10.37942119098043,-15.984848431983266,18.94166313151777,-33.565959621609906
2019-11-01,,364097090.0,,159743815.0,2233241887.0,,,,,,,-28.605676663117872,,-68.22924296004165,-13.63558404137346,,,,,
2020-01-01,66429003.0,309085235.0,3170827400.0,435307532.0,2254227036.0,7408437912.0,2298159715.0,570721943.0,2670300248.0,134664925.0,,-35.15515049680168,,1500.057443751584,-6.4222124083557315,,,,,
2020-02-01,65775329.0,291550618.0,2788231270.0,541088806.0,2175968308.0,8274206483.0,2251755373.0,417163135.0,2510713203.0,95228176.0,-14.913626864738905,-27.268606716527742,-31.378555665496332,6.663362629528358,-8.550707632301624,-8.680761886161193,-13.48541160469644,-54.98117865133359,-9.312543335094025,7.020610071642586
